country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source
Austria,AUT,Europe,8978929,cases,0,2020-01,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-02,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-03,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-04,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-05,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-06,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-07,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,0,2020-08,0.0,0,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,12,2020-09,0.0,12,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,115,2020-10,1.4144226,127,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,874,2020-11,11.014677,1001,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,3046,2020-12,43.65777,4047,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,5098,2020-13,90.70124,9145,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,3114,2020-14,91.45857,12259,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,1838,2020-15,55.151344,14097,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,686,2020-16,28.110256,14783,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,450,2020-17,12.651843,15233,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,309,2020-18,8.453124,15542,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,260,2020-19,6.3370585,15802,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,324,2020-20,6.5041165,16126,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,264,2020-21,6.548665,16390,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,195,2020-22,5.111968,16585,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,228,2020-23,4.7110295,16813,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,172,2020-24,4.4548745,16985,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,248,2020-25,4.677618,17233,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,334,2020-26,6.481842,17567,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,640,2020-27,10.847619,18207,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,597,2020-28,13.776699,18804,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,784,2020-29,15.380453,19588,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,872,2020-30,18.44318,20460,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,792,2020-31,18.532276,21252,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,721,2020-32,16.850561,21973,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,1461,2020-33,24.30134,23434,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,1908,2020-34,37.52118,25342,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,1943,2020-35,42.8893,27285,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,2263,2020-36,46.843002,29548,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,3995,2020-37,69.69651,33543,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,5215,2020-38,102.57348,38758,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,4661,2020-39,109.990845,43419,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,5602,2020-40,114.300934,49021,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,7487,2020-41,145.77463,56508,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,9898,2020-42,193.61998,66406,TESSy COVID-19
Austria,AUT,Europe,8978929,cases,18262,2020-43,313.62314,84668,TESSy COVID-19
